,,,,,,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Amount,,Balance
,Other Current Asset,,,,,,,,,,,,,,,,,,,,,,,0.00
,,Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,,,0.00
,,,HHA-Patterson Pavillion B,,,,,,,,,,,,,,,,,,,,,0.00
,,,,,,Bill,,05/23/2025,,INV# 2001,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2001 HHA-Paterson Pavillion Bdeposit to start COST OF CONSTRUCTION,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"41,570.83",,"41,570.83"
,,,,,,Bill,,05/28/2025,,Plumbing service,,Signature Design Plans Corp.,,Plumbing service,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"1,200.00",,"42,770.83"
,,,,,,Bill,,06/06/2025,,expenses,,Harold Echeverri,,parking Patterson Pavillon Building B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,10.00,,"42,780.83"
,,,,,,Bill,,06/06/2025,,expenses,,Harold Echeverri,,Notice of Comitment Patterson Pavillon Building B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,13.73,,"42,794.56"
,,,,,,Bill,,06/23/2025,,Patterson Pavillion,,CITY OF HIALEAH,,Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,200.00,,"42,994.56"
,,,,,,Bill,,07/01/2025,,Electricity service,,Signature Design Plans Corp.,,Electricity service,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"1,200.00",,"44,194.56"
,,,,,,Bill,,07/02/2025,,INV# 2002,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 2002 HHA-Paterson Pavillion Bdeposit to start COST OF CONSTRUCTION,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"41,570.83",,"85,765.39"
,,,,,,Bill,,07/06/2025,,INV# 1438 Patterson,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1438 Patterson,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"8,816.46",,"94,581.85"
,,,,,,Bill,,07/21/2025,,HHA-Vivian Villas,,DIEGO YACOBELLI,,HHA-Patterson Pavillion B,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,777.57,,"95,359.42"
,,,,,,Bill,,07/25/2025,,INV# 00056,,"Full Uniwell, LLC",,Run Pmt,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,900.00,,"96,259.42"
,,,,,,Bill,,08/06/2025,,INV# 1439 Patterson,,INTEGRAL EMERGENCY SOLUTIONS,,INV# 1439 Patterson,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,"10,067.83",,"106,327.25"
,,,,,,Bill,,08/08/2025,,JUL/09 - AUG/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,192.98,,"106,520.23"
,,,,,,Bill,,08/08/2025,,JUL/09 - AUG/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,307.92,,"106,828.15"
,,,,,,Bill,,08/08/2025,,JUL/09 - AUG/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,180.81,,"107,008.96"
,,,,,,Bill,,08/08/2025,,JUL/09 - AUG/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,321.02,,"107,329.98"
,,,,,,Bill,,08/08/2025,,JUL/09 - AUG/08/2025,,BANK OF AMERICA CC# 2959,,restaurant Fabiola,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,195.58,,"107,525.56"
,,,,,,Bill,,08/08/2025,,JUL/09 - AUG/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,88.22,,"107,613.78"
,,,,,,Bill,,08/08/2025,,JUL/09 - AUG/08/2025,,BANK OF AMERICA CC# 2959,,Amazon.com,,Construction:HHA-Patterson Pavillion B,,,,Accounts Payable,,973.57,,"108,587.35"
