,,,,,,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Amount,,Balance
,Other Current Asset,,,,,,,,,,,,,,,,,,,,,,,0.00
,,Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,,,0.00
,,,HHA-Vivan Villas,,,,,,,,,,,,,,,,,,,,,0.00
,,,,,,Bill,,02/11/2025,,INV# 000043,,"LC Electrical and Fire Solutions, LLC",,INV# 000043  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,800.00,,800.00
,,,,,,Bill,,03/10/2025,,INV# M21871,,MRO Supreme,,68 Moen Rinza 84627 bathroom Faucet ($99.51 C/U)  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"6,766.85",,"7,566.85"
,,,,,,Bill,,03/10/2025,,INV# 1001 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,Cost Of Construction HHA-VIVIAN VILLAS,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"36,544.85",,"44,111.70"
,,,,,,Bill,,03/11/2025,,Security Bond,,"A&M FALERO INSURANCE, INC.",,Security Bond for City of Hialeah Vivian Villas Project Insurance Expense:Bonds Sureties,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"15,747.00",,"59,858.70"
,,,,,,Bill,,03/13/2025,,FEB/14 - MAR/13/2024,,Home Depot Credit Services,,INV# 1704397  Office Expenses,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"5,898.88",,"65,757.58"
,,,,,,Bill,,03/14/2025,,Harold online purcha,,"Home Depot USA, Inc.",,Harold online purchase Cost Of Construction (93 Delta Kitchen Faucet),,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"14,747.94",,"80,505.52"
,,,,,,Bill,,03/17/2025,,INV# 1002 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1002 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"36,544.85",,"117,050.37"
,,,,,,Bill,,03/25/2025,,INV# 1003 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1003 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"36,544.85",,"153,595.22"
,,,,,,Bill,,03/26/2025,,GAS,,GAS,,GAS,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,40.00,,"153,635.22"
,,,,,,Bill,,03/26/2025,,Parking Hialeah Cour,,PARKING,,Parking Hialeah Court House office expenses,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,12.60,,"153,647.82"
,,,,,,Bill,,03/26/2025,,Recording Fee,,CITY OF HIALEAH,,Recording Fee  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,45.73,,"153,693.55"
,,,,,,Bill,,03/27/2025,,INV# 132491,,J Plumbing Supply Corp.,,INV# 132491 Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,11.04,,"153,704.59"
,,,,,,Bill,,03/27/2025,,INV# 132499,,J Plumbing Supply Corp.,,INV# 132499 Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"2,230.51",,"155,935.10"
,,,,,,Bill,,03/27/2025,,HHA-Vivan Villas,,"Plumbing Experts, INC",,Installed 1/4 turn valves per ivan,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"2,088.00",,"158,023.10"
,,,,,,Bill,,03/28/2025,,gas,,GAS,,gas refund,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,36.18,,"158,059.28"
,,,,,,Bill,,03/28/2025,,HHA-Vivian Villas,,LOWE´S,,HHA-Vivian Villas Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,50.38,,"158,109.66"
,,,,,,Bill,,03/28/2025,,HHA-Vivian Villas,,Andres A. Perez,,HHA-Vivian Villas Cost Of Construction:Contract Labor,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,364.00,,"158,473.66"
,,,,,,Bill,,03/28/2025,,INV# 33 PO# 1388,,Argo Power Service,,INV# 33 PO# 1388  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"4,150.00",,"162,623.66"
,,,,,,Bill,,03/31/2025,,March/2025,,First Horizon CC,,Hialeah Comm Dev  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,200.00,,"162,823.66"
